"","date","stream","m","mean_temp","month","year","trt_yr","decomp_month"
"79",2018-05-06,"towr","118",12.767125,5,2018,"WTF",6
"80",2018-05-06,"towr","19",13.0234479166667,5,2018,"WTF",6
"81",2018-05-06,"towr","37",12.91459375,5,2018,"WTF",6
"82",2018-05-06,"towr","59",12.8024583333333,5,2018,"WTF",6
"83",2018-05-06,"towr","83",12.7773854166667,5,2018,"WTF",6
"84",2018-05-06,"towr","99",12.8110104166667,5,2018,"WTF",6
"85",2018-05-07,"c55","0",13.2462604166667,5,2018,"WTF",6
"86",2018-05-07,"c55","100",13.2268020833333,5,2018,"WTF",6
"87",2018-05-07,"c55","118",13.1718645833333,5,2018,"WTF",6
"88",2018-05-07,"c55","21",13.15771875,5,2018,"WTF",6
"89",2018-05-07,"c55","39",13.0602916666667,5,2018,"WTF",6
"90",2018-05-07,"c55","58",13.202375,5,2018,"WTF",6
"91",2018-05-07,"c55","82",13.1073958333333,5,2018,"WTF",6
"92",2018-05-07,"towr","0",12.5808958333333,5,2018,"WTF",6
"93",2018-05-07,"towr","118",12.52721875,5,2018,"WTF",6
"94",2018-05-07,"towr","19",12.6291458333333,5,2018,"WTF",6
"95",2018-05-07,"towr","37",12.57265625,5,2018,"WTF",6
"96",2018-05-07,"towr","59",12.50046875,5,2018,"WTF",6
"97",2018-05-07,"towr","83",12.4969583333333,5,2018,"WTF",6
"98",2018-05-07,"towr","99",12.55059375,5,2018,"WTF",6
"99",2018-05-08,"c55","0",13.1713541666667,5,2018,"WTF",6
"100",2018-05-08,"c55","100",13.1491875,5,2018,"WTF",6
"101",2018-05-08,"c55","118",13.0953125,5,2018,"WTF",6
"102",2018-05-08,"c55","21",13.0872708333333,5,2018,"WTF",6
"103",2018-05-08,"c55","39",12.9862083333333,5,2018,"WTF",6
"104",2018-05-08,"c55","58",13.1268333333333,5,2018,"WTF",6
"105",2018-05-08,"c55","82",13.0331354166667,5,2018,"WTF",6
"106",2018-05-08,"towr","0",12.53446875,5,2018,"WTF",6
"107",2018-05-08,"towr","118",12.44053125,5,2018,"WTF",6
"108",2018-05-08,"towr","19",12.5798958333333,5,2018,"WTF",6
"109",2018-05-08,"towr","37",12.509125,5,2018,"WTF",6
"110",2018-05-08,"towr","59",12.4406979166667,5,2018,"WTF",6
"111",2018-05-08,"towr","83",12.4208958333333,5,2018,"WTF",6
"112",2018-05-08,"towr","99",12.4737395833333,5,2018,"WTF",6
"113",2018-05-09,"c55","0",13.31103125,5,2018,"WTF",6
"114",2018-05-09,"c55","100",13.2743958333333,5,2018,"WTF",6
"115",2018-05-09,"c55","118",13.2095833333333,5,2018,"WTF",6
"116",2018-05-09,"c55","21",13.2143333333333,5,2018,"WTF",6
"117",2018-05-09,"c55","39",13.1002291666667,5,2018,"WTF",6
"118",2018-05-09,"c55","58",13.2463125,5,2018,"WTF",6
"119",2018-05-09,"c55","82",13.16159375,5,2018,"WTF",6
"120",2018-05-09,"towr","0",12.82715625,5,2018,"WTF",6
"121",2018-05-09,"towr","118",12.6302708333333,5,2018,"WTF",6
"122",2018-05-09,"towr","19",12.8924479166667,5,2018,"WTF",6
"123",2018-05-09,"towr","37",12.7867395833333,5,2018,"WTF",6
